"mapping_id","entity_type","legacy_url","legacy_path","legacy_slug","proposed_new_path","new_content_key","migration_action","redirect_status","mapping_status","note","source_sitemap","legacy_lastmod"
"MAP-0001","page","https://academy.octopus.be/nl/","/nl/","home","/nl/","page:home","canonical","301","todo","Primaire homepage canonical.","page-sitemap.xml","2025-12-08T13:20:10+00:00"
"MAP-0002","page","https://academy.octopus.be/nl/algemene-voorwaarden/","/nl/algemene-voorwaarden/","algemene-voorwaarden","/nl/algemene-voorwaarden/","page:algemene-voorwaarden","redirect","301","todo","","page-sitemap.xml","2022-06-27T12:20:24+00:00"
"MAP-0003","page","https://academy.octopus.be/nl/certificate-verification/","/nl/certificate-verification/","certificate-verification","/nl/certificaat-verificatie/","page:certificate-verification","redirect","301","todo","","page-sitemap.xml","2024-12-04T15:28:40+00:00"
"MAP-0004","page","https://academy.octopus.be/nl/cookie/","/nl/cookie/","cookie","/nl/cookie/","page:cookie","redirect","301","todo","","page-sitemap.xml","2022-06-27T13:00:16+00:00"
"MAP-0005","page","https://academy.octopus.be/nl/cursuslijst-boekhoudprogramma/","/nl/cursuslijst-boekhoudprogramma/","cursuslijst-boekhoudprogramma","/nl/cursussen/?categorie=boekhoudprogramma","page:cursuslijst-boekhoudprogramma","redirect","301","todo","Legacy overzicht vervangen door filter op /nl/cursussen/.","page-sitemap.xml","2025-12-08T11:54:53+00:00"
"MAP-0006","page","https://academy.octopus.be/nl/cursuslijst-klantenportaal/","/nl/cursuslijst-klantenportaal/","cursuslijst-klantenportaal","/nl/cursussen/?categorie=klantenportaal","page:cursuslijst-klantenportaal","redirect","301","todo","Legacy overzicht vervangen door filter op /nl/cursussen/.","page-sitemap.xml","2025-12-05T11:51:04+00:00"
"MAP-0007","page","https://academy.octopus.be/nl/cursuslijst-ontdek/","/nl/cursuslijst-ontdek/","cursuslijst-ontdek","/nl/cursussen/?categorie=ontdek","page:cursuslijst-ontdek","redirect","301","todo","Legacy overzicht vervangen door filter op /nl/cursussen/.","page-sitemap.xml","2025-12-05T11:38:20+00:00"
"MAP-0008","page","https://academy.octopus.be/nl/cursussen/","/nl/cursussen/","cursussen","/nl/cursussen/","page:cursussen","redirect","301","todo","","page-sitemap.xml","2026-01-08T14:51:56+00:00"
"MAP-0009","page","https://academy.octopus.be/nl/cursussen/alle-cursussen/","/nl/cursussen/alle-cursussen/","alle-cursussen","/nl/cursussen/","page:alle-cursussen","redirect","301","todo","","page-sitemap.xml","2025-04-14T13:48:57+00:00"
"MAP-0010","page","https://academy.octopus.be/nl/disclaimer/","/nl/disclaimer/","disclaimer","/nl/disclaimer/","page:disclaimer","redirect","301","todo","","page-sitemap.xml","2022-06-27T12:21:46+00:00"
"MAP-0011","page","https://academy.octopus.be/nl/elementor-6522/","/nl/elementor-6522/","elementor-6522","","page:elementor-6522","deprecate","410","todo","Technische/testpagina uit productie houden.","page-sitemap.xml","2026-03-03T14:09:28+00:00"
"MAP-0012","page","https://academy.octopus.be/nl/home/","/nl/home/","home","/nl/","page:home","redirect","301","todo","Consolideren naar /nl/ volgens URL policy.","page-sitemap.xml","2025-03-28T09:13:55+00:00"
"MAP-0013","page","https://academy.octopus.be/nl/how-tos/","/nl/how-tos/","how-tos","/nl/how-tos/","page:how-tos","redirect","301","todo","","page-sitemap.xml","2024-11-20T08:32:37+00:00"
"MAP-0014","page","https://academy.octopus.be/nl/my-account/","/nl/my-account/","my-account","/nl/account/","page:my-account","redirect","301","todo","","page-sitemap.xml","2025-12-08T15:22:43+00:00"
"MAP-0015","page","https://academy.octopus.be/nl/my-account/mijn-cursussen/","/nl/my-account/mijn-cursussen/","mijn-cursussen","/nl/account/cursussen/","page:mijn-cursussen","redirect","301","todo","","page-sitemap.xml","2025-03-27T11:07:37+00:00"
"MAP-0016","page","https://academy.octopus.be/nl/over-octopus-academy/","/nl/over-octopus-academy/","over-octopus-academy","/nl/over-octopus-academy/","page:over-octopus-academy","redirect","301","todo","","page-sitemap.xml","2025-12-08T15:18:35+00:00"
"MAP-0017","page","https://academy.octopus.be/nl/peppol-activeren-in-octopus/","/nl/peppol-activeren-in-octopus/","peppol-activeren-in-octopus","/nl/cursussen/peppol/","page:peppol-activeren-in-octopus","redirect","301","todo","","page-sitemap.xml","2023-12-06T09:43:30+00:00"
"MAP-0018","page","https://academy.octopus.be/nl/privacy-policy/","/nl/privacy-policy/","privacy-policy","/nl/privacy-policy/","page:privacy-policy","redirect","301","todo","","page-sitemap.xml","2022-06-27T12:17:35+00:00"
"MAP-0019","page","https://academy.octopus.be/nl/registratie/","/nl/registratie/","registratie","/nl/registratie/","page:registratie","redirect","301","todo","","page-sitemap.xml","2025-03-28T09:01:07+00:00"
"MAP-0020","page","https://academy.octopus.be/nl/test-event_hub/","/nl/test-event_hub/","test-event_hub","","page:test-event_hub","deprecate","410","todo","Technische/testpagina uit productie houden.","page-sitemap.xml","2026-02-05T10:39:59+00:00"
"MAP-0021","course","https://academy.octopus.be/nl/Cursussen/coda/","/nl/Cursussen/coda/","coda","/nl/cursussen/coda/","course:coda","migrate+redirect","301","todo","","sfwd-courses-sitemap.xml","2025-03-28T10:17:10+00:00"
"MAP-0022","course","https://academy.octopus.be/nl/Cursussen/documenten-doorsturen-via-dms/","/nl/Cursussen/documenten-doorsturen-via-dms/","documenten-doorsturen-via-dms","/nl/cursussen/documenten-doorsturen-via-dms/","course:documenten-doorsturen-via-dms","migrate+redirect","301","todo","","sfwd-courses-sitemap.xml","2025-03-28T10:30:13+00:00"
"MAP-0023","course","https://academy.octopus.be/nl/Cursussen/hoe-een-boeking-inbrengen/","/nl/Cursussen/hoe-een-boeking-inbrengen/","hoe-een-boeking-inbrengen","/nl/cursussen/hoe-een-boeking-inbrengen/","course:hoe-een-boeking-inbrengen","migrate+redirect","301","todo","","sfwd-courses-sitemap.xml","2025-03-28T10:31:17+00:00"
"MAP-0024","course","https://academy.octopus.be/nl/Cursussen/klantenportaal/","/nl/Cursussen/klantenportaal/","klantenportaal","/nl/cursussen/klantenportaal/","course:klantenportaal","migrate+redirect","301","todo","","sfwd-courses-sitemap.xml","2026-01-06T14:17:48+00:00"
