"mapping_id","entity_type","old_url","new_url","status","note"
"MAP-0002","page","https://academy.octopus.be/nl/algemene-voorwaarden/","https://academy.octopus.be/nl/algemene-voorwaarden/","301",""
"MAP-0003","page","https://academy.octopus.be/nl/certificate-verification/","https://academy.octopus.be/nl/certificaat-verificatie/","301",""
"MAP-0004","page","https://academy.octopus.be/nl/cookie/","https://academy.octopus.be/nl/cookie/","301",""
"MAP-0125","category","https://academy.octopus.be/nl/course-category/basiskennis-boekhouden-met-octopus/","https://academy.octopus.be/nl/cursussen/categorie/basiskennis-boekhouden-met-octopus/","301",""
"MAP-0126","category","https://academy.octopus.be/nl/course-category/boekhouding/","https://academy.octopus.be/nl/cursussen/categorie/boekhouding/","301",""
"MAP-0127","category","https://academy.octopus.be/nl/course-category/cursussen-in-de-kijker/","https://academy.octopus.be/nl/cursussen/categorie/cursussen-in-de-kijker/","301",""
"MAP-0128","category","https://academy.octopus.be/nl/course-category/digitaal-boekhouden/","https://academy.octopus.be/nl/cursussen/categorie/digitaal-boekhouden/","301",""
"MAP-0129","category","https://academy.octopus.be/nl/course-category/digitaliseren-met-octopus/","https://academy.octopus.be/nl/cursussen/categorie/digitaliseren-met-octopus/","301",""
"MAP-0130","category","https://academy.octopus.be/nl/course-category/how-tos/","https://academy.octopus.be/nl/cursussen/categorie/how-tos/","301",""
"MAP-0131","category","https://academy.octopus.be/nl/course-category/how-tos-in-de-kijker/","https://academy.octopus.be/nl/cursussen/categorie/how-tos-in-de-kijker/","301",""
"MAP-0132","category","https://academy.octopus.be/nl/course-category/klantenportaal/","https://academy.octopus.be/nl/cursussen/categorie/klantenportaal/","301",""
"MAP-0133","tag","https://academy.octopus.be/nl/course-tag/boekhoudprogramma/","https://academy.octopus.be/nl/cursussen/tag/boekhoudprogramma/","301",""
"MAP-0134","tag","https://academy.octopus.be/nl/course-tag/gevorderd/","https://academy.octopus.be/nl/cursussen/tag/gevorderd/","301",""
"MAP-0135","tag","https://academy.octopus.be/nl/course-tag/klantenportaal/","https://academy.octopus.be/nl/cursussen/tag/klantenportaal/","301",""
"MAP-0136","tag","https://academy.octopus.be/nl/course-tag/starter/","https://academy.octopus.be/nl/cursussen/tag/starter/","301",""
"MAP-0005","page","https://academy.octopus.be/nl/cursuslijst-boekhoudprogramma/","https://academy.octopus.be/nl/cursussen/?categorie=boekhoudprogramma","301","Legacy overzicht vervangen door filter op /nl/cursussen/."
"MAP-0006","page","https://academy.octopus.be/nl/cursuslijst-klantenportaal/","https://academy.octopus.be/nl/cursussen/?categorie=klantenportaal","301","Legacy overzicht vervangen door filter op /nl/cursussen/."
"MAP-0007","page","https://academy.octopus.be/nl/cursuslijst-ontdek/","https://academy.octopus.be/nl/cursussen/?categorie=ontdek","301","Legacy overzicht vervangen door filter op /nl/cursussen/."
"MAP-0008","page","https://academy.octopus.be/nl/cursussen/","https://academy.octopus.be/nl/cursussen/","301",""
"MAP-0009","page","https://academy.octopus.be/nl/cursussen/alle-cursussen/","https://academy.octopus.be/nl/cursussen/","301",""
"MAP-0021","course","https://academy.octopus.be/nl/Cursussen/coda/","https://academy.octopus.be/nl/cursussen/coda/","301",""
"MAP-0022","course","https://academy.octopus.be/nl/Cursussen/documenten-doorsturen-via-dms/","https://academy.octopus.be/nl/cursussen/documenten-doorsturen-via-dms/","301",""
"MAP-0023","course","https://academy.octopus.be/nl/Cursussen/hoe-een-boeking-inbrengen/","https://academy.octopus.be/nl/cursussen/hoe-een-boeking-inbrengen/","301",""
"MAP-0024","course","https://academy.octopus.be/nl/Cursussen/klantenportaal/","https://academy.octopus.be/nl/cursussen/klantenportaal/","301",""
"MAP-0025","course","https://academy.octopus.be/nl/Cursussen/lijsten-in-octopus/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/","301",""
"MAP-0026","course","https://academy.octopus.be/nl/Cursussen/menu-beheer/","https://academy.octopus.be/nl/cursussen/menu-beheer/","301",""
"MAP-0027","course","https://academy.octopus.be/nl/Cursussen/met-het-pakket-starten/","https://academy.octopus.be/nl/cursussen/met-het-pakket-starten/","301",""
"MAP-0028","course","https://academy.octopus.be/nl/Cursussen/octopus-webinars/","https://academy.octopus.be/nl/cursussen/octopus-webinars/","301",""
"MAP-0029","course","https://academy.octopus.be/nl/Cursussen/ondernemer-facturatie/","https://academy.octopus.be/nl/cursussen/ondernemer-facturatie/","301",""
"MAP-0030","course","https://academy.octopus.be/nl/Cursussen/peppol/","https://academy.octopus.be/nl/cursussen/peppol/","301",""
"MAP-0010","page","https://academy.octopus.be/nl/disclaimer/","https://academy.octopus.be/nl/disclaimer/","301",""
"MAP-0011","page","https://academy.octopus.be/nl/elementor-6522/","","410","Technische/testpagina uit productie houden."
"MAP-0012","page","https://academy.octopus.be/nl/home/","https://academy.octopus.be/nl/","301","Consolideren naar /nl/ volgens URL policy."
"MAP-0013","page","https://academy.octopus.be/nl/how-tos/","https://academy.octopus.be/nl/how-tos/","301",""
"MAP-0031","lesson","https://academy.octopus.be/nl/lessons/aangiftes-btw-btw-listing-en-ic-listing/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/aangiftes-btw-btw-listing-en-ic-listing/","301",""
"MAP-0032","lesson","https://academy.octopus.be/nl/lessons/aankoopfacturen/","https://academy.octopus.be/nl/cursussen/klantenportaal/lessons/aankoopfacturen/","301",""
"MAP-0033","lesson","https://academy.octopus.be/nl/lessons/aanpassen-factuuropmaak/","https://academy.octopus.be/nl/cursussen/klantenportaal/lessons/aanpassen-factuuropmaak/","301","Koppeling op basis van legacy media prefix Klantenportaal_; geen parent-course class in body."
"MAP-0034","lesson","https://academy.octopus.be/nl/lessons/aanpassen-factuuropmaak-2/","https://academy.octopus.be/nl/cursussen/klantenportaal/lessons/aanpassen-factuuropmaak-2/","301","Koppeling op basis van legacy media prefix Klantenportaal_; geen parent-course class in body."
"MAP-0035","lesson","https://academy.octopus.be/nl/lessons/activatie-van-een-coda-mandaat/","https://academy.octopus.be/nl/cursussen/coda/lessons/activatie-van-een-coda-mandaat/","301",""
"MAP-0036","lesson","https://academy.octopus.be/nl/lessons/afdrukken-en-verzenden-leveringsnotas-en-facturen/","https://academy.octopus.be/nl/cursussen/ondernemer-facturatie/lessons/afdrukken-en-verzenden-leveringsnotas-en-facturen/","301",""
"MAP-0037","lesson","https://academy.octopus.be/nl/lessons/afpunten-rekeningen/","https://academy.octopus.be/nl/cursussen/hoe-een-boeking-inbrengen/lessons/afpunten-rekeningen/","301",""
"MAP-0038","lesson","https://academy.octopus.be/nl/lessons/afpunten-relaties/","https://academy.octopus.be/nl/cursussen/hoe-een-boeking-inbrengen/lessons/afpunten-relaties/","301",""
"MAP-0039","lesson","https://academy.octopus.be/nl/lessons/afpunten-wachtrekening/","https://academy.octopus.be/nl/cursussen/coda/lessons/afpunten-wachtrekening/","301",""
"MAP-0040","lesson","https://academy.octopus.be/nl/lessons/afpuntingen/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/afpuntingen/","301",""
"MAP-0041","lesson","https://academy.octopus.be/nl/lessons/alles-over-peppol/","https://academy.octopus.be/nl/cursussen/peppol/lessons/alles-over-peppol/","301","Bevestigd via canonical en course links naar peppol."
"MAP-0042","lesson","https://academy.octopus.be/nl/lessons/artikels-en-artikelgroepen/","https://academy.octopus.be/nl/cursussen/ondernemer-facturatie/lessons/artikels-en-artikelgroepen/","301",""
"MAP-0043","lesson","https://academy.octopus.be/nl/lessons/automatische-diversen/","https://academy.octopus.be/nl/cursussen/hoe-een-boeking-inbrengen/lessons/automatische-diversen/","301",""
"MAP-0044","lesson","https://academy.octopus.be/nl/lessons/backup-nemen-van-documenten-bewaard-in-dms/","https://academy.octopus.be/nl/cursussen/documenten-doorsturen-via-dms/lessons/backup-nemen-van-documenten-bewaard-in-dms/","301",""
"MAP-0045","lesson","https://academy.octopus.be/nl/lessons/balansen/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/balansen/","301","Afgeleid uit thematische cluster met balansen-beknopt/uitgebreid in lijsten-in-octopus."
"MAP-0046","lesson","https://academy.octopus.be/nl/lessons/balansen-beknopt/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/balansen-beknopt/","301",""
"MAP-0047","lesson","https://academy.octopus.be/nl/lessons/balansen-uitgebreid/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/balansen-uitgebreid/","301",""
"MAP-0048","lesson","https://academy.octopus.be/nl/lessons/beheer-afschrijvingen/","https://academy.octopus.be/nl/cursussen/menu-beheer/lessons/beheer-afschrijvingen/","301",""
"MAP-0049","lesson","https://academy.octopus.be/nl/lessons/beheer-leningen/","https://academy.octopus.be/nl/cursussen/menu-beheer/lessons/beheer-leningen/","301",""
"MAP-0050","lesson","https://academy.octopus.be/nl/lessons/beheer-postcodes-en-landcodes/","https://academy.octopus.be/nl/cursussen/menu-beheer/lessons/beheer-postcodes-en-landcodes/","301",""
"MAP-0051","lesson","https://academy.octopus.be/nl/lessons/beheer-velden/","https://academy.octopus.be/nl/cursussen/menu-beheer/lessons/beheer-velden/","301","Bevestigd via canonical en parent course class (menu-beheer)."
"MAP-0052","lesson","https://academy.octopus.be/nl/lessons/boeken-bankuittreksel/","https://academy.octopus.be/nl/cursussen/hoe-een-boeking-inbrengen/lessons/boeken-bankuittreksel/","301",""
"MAP-0053","lesson","https://academy.octopus.be/nl/lessons/boeken-diversen/","https://academy.octopus.be/nl/cursussen/hoe-een-boeking-inbrengen/lessons/boeken-diversen/","301",""
"MAP-0054","lesson","https://academy.octopus.be/nl/lessons/boeken-erelonen-en-koppelen-met-fiche-281-50/","https://academy.octopus.be/nl/cursussen/hoe-een-boeking-inbrengen/lessons/boeken-erelonen-en-koppelen-met-fiche-281-50/","301",""
"MAP-0055","lesson","https://academy.octopus.be/nl/lessons/boeken-kas/","https://academy.octopus.be/nl/cursussen/hoe-een-boeking-inbrengen/lessons/boeken-kas/","301",""
"MAP-0056","lesson","https://academy.octopus.be/nl/lessons/boeken-van-aankoopfactuur-met-autofiscaliteit/","https://academy.octopus.be/nl/cursussen/hoe-een-boeking-inbrengen/lessons/boeken-van-aankoopfactuur-met-autofiscaliteit/","301",""
"MAP-0057","lesson","https://academy.octopus.be/nl/lessons/boeken-van-aankoopfactuur-met-gespreide-kosten/","https://academy.octopus.be/nl/cursussen/hoe-een-boeking-inbrengen/lessons/boeken-van-aankoopfactuur-met-gespreide-kosten/","301",""
"MAP-0058","lesson","https://academy.octopus.be/nl/lessons/boeken-van-aankoopfactuur-met-investering/","https://academy.octopus.be/nl/cursussen/hoe-een-boeking-inbrengen/lessons/boeken-van-aankoopfactuur-met-investering/","301",""
"MAP-0059","lesson","https://academy.octopus.be/nl/lessons/boeken-van-aankoopfactuur-met-kostenplaatsen/","https://academy.octopus.be/nl/cursussen/hoe-een-boeking-inbrengen/lessons/boeken-van-aankoopfactuur-met-kostenplaatsen/","301",""
"MAP-0060","lesson","https://academy.octopus.be/nl/lessons/boeken-van-een-aankoopfactuur-met-beroepsgedeelte/","https://academy.octopus.be/nl/cursussen/hoe-een-boeking-inbrengen/lessons/boeken-van-een-aankoopfactuur-met-beroepsgedeelte/","301","Afgeleid uit aankoopfactuur-cluster binnen hoe-een-boeking-inbrengen."
"MAP-0061","lesson","https://academy.octopus.be/nl/lessons/boekjaren/","https://academy.octopus.be/nl/cursussen/menu-beheer/lessons/boekjaren/","301",""
"MAP-0062","lesson","https://academy.octopus.be/nl/lessons/btw-aangifte/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/btw-aangifte/","301",""
"MAP-0063","lesson","https://academy.octopus.be/nl/lessons/btw-codes/","https://academy.octopus.be/nl/cursussen/menu-beheer/lessons/btw-codes/","301",""
"MAP-0064","lesson","https://academy.octopus.be/nl/lessons/btw-listing/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/btw-listing/","301",""
"MAP-0065","lesson","https://academy.octopus.be/nl/lessons/coda-mandaat-zelf-importeren/","https://academy.octopus.be/nl/cursussen/coda/lessons/coda-mandaat-zelf-importeren/","301",""
"MAP-0066","lesson","https://academy.octopus.be/nl/lessons/dagboeken/","https://academy.octopus.be/nl/cursussen/menu-beheer/lessons/dagboeken/","301",""
"MAP-0067","lesson","https://academy.octopus.be/nl/lessons/dagboeken-2/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/dagboeken-2/","301",""
"MAP-0068","lesson","https://academy.octopus.be/nl/lessons/dms-audit/","https://academy.octopus.be/nl/cursussen/documenten-doorsturen-via-dms/lessons/dms-audit/","301",""
"MAP-0069","lesson","https://academy.octopus.be/nl/lessons/dms-via-de-unieke-e-mailadressen/","https://academy.octopus.be/nl/cursussen/documenten-doorsturen-via-dms/lessons/dms-via-de-unieke-e-mailadressen/","301","Afgeleid uit DMS-topic en media prefix Boekhoudprogramma_DMS."
"MAP-0070","lesson","https://academy.octopus.be/nl/lessons/document-achteraf-koppelen-via-drag-drop/","https://academy.octopus.be/nl/cursussen/documenten-doorsturen-via-dms/lessons/document-achteraf-koppelen-via-drag-drop/","301",""
